id,program,question_id,question_response,check_in_days,sober_days,message
18,clear30,Break-Reason,Gain Mental Clarity,6,4,"😤 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

💡 You set out for mental clarity, and each of those smoke-free days gave you more space to think, focus, and feel present.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
19,clear30,Break-Reason,Reduce Anxiety,6,4,"😤 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🧘 You set out to reduce anxiety, and each of those smoke-free days gave you space to breathe and take back control—one step at a time.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
20,clear30,Break-Reason,Reduce Depression,6,4,"☺️ You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🌤️ You set out to lift your mood, and every smoke-free day was a step toward feeling lighter, more present, and more in control of your path.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
21,clear30,Break-Reason,Reduce Being Stuck in Own Head,6,4,"😇 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🌍 You set out to get out of your own head, and with each smoke-free day, you gave yourself more space to step outside the loop and reconnect with the world around you.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
22,clear30,Break-Reason,Improve Sleep Quality,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🌙 You set out to improve your sleep, and with each smoke-free night, you gave your body a real chance to reset and find its rhythm.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
23,clear30,Break-Reason,Improve Self-Control and Intention,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🧭 You set out to build self-control and intention, and this week, you proved to yourself that you can make choices that align with what you want. That’s real momentum.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
24,clear30,Break-Reason,Reduce Dependency on Cannabis,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🔓 You set out to loosen cannabis’ grip on your life, and every day you went without it was a reminder that you’re the one in control. That’s worth recognizing.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
25,clear30,Break-Reason,Explore Life Without Cannabis,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🌍 You set out to explore life without cannabis, and now you’ve got real experience—not just a thought, but proof of what’s possible.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
26,clear30,Break-Reason,Improve Overall Health,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

💚 You set out to improve your health, and every smoke-free day was a choice that backed that up. Your body felt that, whether you noticed it yet or not.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
27,clear30,Break-Reason,Improve Lung Health,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🫁 You set out to give your lungs a break, and this week, you did exactly that. Each smoke-free day was time your lungs could recover—small changes that stack up.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
28,clear30,Break-Reason,Increase Productivity,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

💼 You set out to be more productive, and this week, you gave yourself more time and focus to make that happen.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
29,clear30,Break-Reason,Increase Motivation,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🚀 You set out to boost your motivation, and this week, you kept yourself in control and moving forward.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
30,clear30,Break-Reason,Save Money,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

💰 You set out to save money, and this week, you kept [money saved] in your pocket—your choice, your win.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
31,clear30,Break-Reason,Improve Current Relationships,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

👥 You set out to strengthen your relationships, and this week, you made space to be more present with the people who matter.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
32,clear30,Break-Reason,Enhance Social Connections,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🥳 You set out to feel more connected, and this week, you gave yourself that chance. More presence, more real moments—that matters.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
33,clear30,Break-Reason,Pass Work-Required Drug Test,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

🧪 You set out to pass your drug test, and this week, you stayed on track. You’re making sure you’re ready when it counts.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
34,clear30,Break-Reason,Meet Legal Obligations,6,4,"🕺 You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ days without smoking. That’s something to be proud of.

⚖️ You set out to meet your legal obligations, and this week, you kept yourself on track. You’re handling what needs to get done—on your terms.

Take a sec to see how far you’ve come.

🌟 Check out your End of Week Summary: clear30://week-summary"
35,clear30,Break-Reason,Gain Mental Clarity,6,1,"😊 You showed up this week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to clear your mind, to think sharper and feel more present. Every time you checked in, you kept that intention alive.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
36,clear30,Break-Reason,Reduce Anxiety,6,1,"😊 You showed up this week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to feel less on edge, to quiet the racing thoughts. Sticking with it this week gave you that chance.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
37,clear30,Break-Reason,Reduce Depression,6,1,"😊 You showed up this week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to lift yourself up, to break free from feeling weighed down. Each day you checked in, you took a step toward that.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
38,clear30,Break-Reason,Reduce Being Stuck in Own Head,6,1,"📅 You stayed consistent all week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to break out of your own head, to feel more connected to what’s around you. Every time you checked in, you took a step toward that.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
39,clear30,Break-Reason,Improve Sleep Quality,6,1,"📅 You stayed consistent all week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to sleep better, to wake up feeling rested instead of drained. Each time you stayed on track, you gave yourself that opportunity.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
40,clear30,Break-Reason,Improve Self-Control and Intention,6,1,"📅 You stayed consistent all week, _CLIENTNAME_!

You had _SOBER_ smoke-free days, and that’s something to build on. You started this to take back control, to make choices that actually align with what you want. Sticking with it this week showed that you’re doing exactly that.

🔄 A new week is a chance to take it further. Keep what worked, adjust what didn’t, and step into Monday ready.

🌟 Check out your End of Week Summary & set yourself up for next week: clear30://week-summary"
41,clear30,Break-Reason,Reduce Dependency on Cannabis,6,1,"🔓 You took steps toward freedom this week, _CLIENTNAME_!

_SOBER_ smoke-free days means you made the call, not the habit. It’s not about being perfect—it’s about proving you can break the cycle.

🔄 New week, fresh start. Keep building on what worked.

🌟 Check your End of Week Summary: clear30://week-summary"
42,clear30,Break-Reason,Explore Life Without Cannabis,6,1,"🌱 You got a taste of life beyond weed, _CLIENTNAME_!

_SOBER_ smoke-free days let you see a little more of what’s possible. What moments felt different? What surprised you?

🔄 Next week, try another shift. See where it takes you.

🌟 Check your End of Week Summary: clear30://week-summary"
43,clear30,Break-Reason,Improve Overall Health,6,1,"💪 You made moves for your health, _CLIENTNAME_!

_SOBER_ days without smoking—that’s real progress. Every break you take gives your body more room to reset.

🔄 A new week’s ahead. What’s one thing you can build on?

🌟 Check your End of Week Summary: clear30://week-summary"
44,clear30,Break-Reason,Improve Lung Health,6,1,"💨 Your lungs got a break this week, _CLIENTNAME_!

_SOBER_ smoke-free days means clearer breaths, even if you don’t feel it yet. Every choice adds up.

🔄 Next week, keep stacking those wins.

🌟 Check your End of Week Summary: clear30://week-summary"
45,clear30,Break-Reason,Increase Productivity,6,1,"📈 You made space to focus this week, _CLIENTNAME_!

_SOBER_ days without smoking gave you more control over your time. What did you get done? What felt easier?

🔄 Next week, keep that momentum rolling.

🌟 Check your End of Week Summary: clear30://week-summary"
46,clear30,Break-Reason,Increase Motivation,6,1,"⚡ You showed up for yourself this week, _CLIENTNAME_!

_SOBER_ smoke-free days meant more energy, more clarity, more you. Even small wins add up.

🔄 Take that momentum into next week. Let’s go.

🌟 Check your End of Week Summary: clear30://week-summary"
47,clear30,Break-Reason,Save Money,6,1,"💵 You kept cash in your pocket, _CLIENTNAME_!

_SOBER_ smoke-free days = real savings. What else could that money go toward?

🔄 New week, fresh start—see what else you can stack.

🌟 Check your End of Week Summary: clear30://week-summary"
48,clear30,Break-Reason,Improve Current Relationships,6,1,"🤝 You showed up for yourself—and others—this week, _CLIENTNAME_!

_SOBER_ smoke-free days gave you more presence, more clarity. Notice any shifts in your connections?

🔄 Keep building next week. Small steps, big impact.

🌟 Check your End of Week Summary: clear30://week-summary"
49,clear30,Break-Reason,Enhance Social Connections,6,1,"🎉 You gave yourself more chances to connect, _CLIENTNAME_!

_SOBER_ smoke-free days meant more presence in real moments. Did you notice any shifts in your social energy?

🔄 Keep building on it next week—see what happens.

🌟 Check your End of Week Summary: clear30://week-summary"
50,clear30,Break-Reason,Pass Work-Required Drug Test,6,1,"✅ You stayed on track, _CLIENTNAME_!

_SOBER_ smoke-free days this week = progress toward passing that test. Every choice you make brings you closer.

🔄 New week, fresh focus—keep stacking wins.

🌟 Check your End of Week Summary: clear30://week-summary"
51,clear30,Break-Reason,Meet Legal Obligations,6,1,"📜 You kept yourself moving forward, _CLIENTNAME_!

_SOBER_ smoke-free days means you’re handling business. You’re proving to yourself you can stick to this.

🔄 Keep pushing next week—one step at a time.

🌟 Check your End of Week Summary: clear30://week-summary"
52,clear30,Break-Reason,Gain Mental Clarity,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to clear your mind and think sharper. Same habit, same check-ins—just aiming for more no-smoke days. Every step counts.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
53,clear30,Break-Reason,Reduce Anxiety,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to ease anxiety and feel more in control. Same check-ins, same effort—now let’s use that habit to create more space for calm.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
54,clear30,Break-Reason,Reduce Depression,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to feel lighter and lift yourself up. Now, it’s about shifting that consistency toward more no-smoke days—small wins that add up.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
55,clear30,Break-Reason,Reduce Being Stuck in Own Head,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to break out of your own head and feel more connected. Now it’s just about flipping that habit—aiming for more moments of clarity and presence.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
56,clear30,Break-Reason,Improve Sleep Quality,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to get better sleep. Now, it’s about shifting that effort toward nights with real rest—no grogginess, just actual recovery.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
57,clear30,Break-Reason,Improve Self-Control and Intention,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You set out to have more control over your choices. You’ve already proven you can stay consistent—now, it’s about using that to shape the habits you actually want.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
58,clear30,Break-Reason,Reduce Dependency on Cannabis,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to loosen cannabis’ grip on your life. Now, it’s about flipping that consistency toward more no-smoke days—one at a time.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
59,clear30,Break-Reason,Explore Life Without Cannabis,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You wanted to see what life looks like without cannabis. This is the first step—now, it’s about using that same routine to create real space for clarity.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
60,clear30,Break-Reason,Improve Overall Health,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this for your health. Every time you check in, you’re reinforcing that goal—now, let’s shift that toward more days where your body gets a real reset.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
61,clear30,Break-Reason,Improve Lung Health,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to give your lungs a break. Now, it’s about using that same consistency to create space for clearer breaths and stronger lungs.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
62,clear30,Break-Reason,Increase Productivity,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You set out to be more productive. Now, it’s about using that same energy to take back your time and focus—one choice at a time.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
63,clear30,Break-Reason,Increase Motivation,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You wanted to feel more motivated. Now, let’s take that consistency and turn it into action—more no-smoke days, more momentum.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
64,clear30,Break-Reason,Save Money,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to save money. Every no-smoke day is more cash in your pocket—let’s shift your effort toward keeping that going.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
65,clear30,Break-Reason,Improve Current Relationships,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You set out to improve your relationships. More presence, more real connection—now it’s about creating more space for that.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
66,clear30,Break-Reason,Enhance Social Connections,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You wanted to feel more connected. This is the first step—now, let’s use that effort to build more moments that actually matter.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
67,clear30,Break-Reason,Pass Work-Required Drug Test,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You started this to pass your drug test. Every day you check in is another step toward making that happen—now let’s push for even more no-smoke days.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
68,clear30,Break-Reason,Meet Legal Obligations,6,0,"🫡 You stuck with it, _CLIENTNAME_.

You smoked every day—but you also showed up, checked in, and built a habit. That’s huge.

You set out to meet your legal obligations. You’re showing up and keeping track—that’s real accountability. Now, let’s use that momentum to get you where you need to be.

🌟 See your End of Week Summary & get ready to lock in next week: clear30://week-summary"
69,clear30,Break-Reason,Gain Mental Clarity,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

💡 More clarity, more control. Every day you stick with this, you’re giving yourself more space to think, focus, and stay sharp.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
70,clear30,Break-Reason,Reduce Anxiety,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

😤 You’re building real calm. Every time you check in, you’re giving yourself a chance to break the stress cycle and regain control.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
71,clear30,Break-Reason,Reduce Depression,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

☺️ You’re showing up for yourself. Every step forward is a step toward feeling lighter, more present, and more like you.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
72,clear30,Break-Reason,Reduce Being Stuck in Own Head,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

😇 Breaking out of the loop, one day at a time. The more you stay with this, the more space you give yourself to reconnect with what matters.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
73,clear30,Break-Reason,Improve Sleep Quality,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

😴 Better sleep starts here. Each choice you made this week helped you move toward real rest and clearer mornings.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
74,clear30,Break-Reason,Improve Self-Control and Intention,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

🎯 You're staying in control. Every time you checked in, you made a choice that actually aligned with what you want.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
75,clear30,Break-Reason,Reduce Dependency on Cannabis,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

🛑 You're taking back control. Every time you chose not to smoke, you proved to yourself that you’re in charge—not the habit.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
76,clear30,Break-Reason,Explore Life Without Cannabis,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

🌍 You're seeing life with fresh eyes. Every day without smoking is a chance to experience things in a new way.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
77,clear30,Break-Reason,Improve Overall Health,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

💚 Every choice adds up. Whether it’s big or small, every step you take is moving you toward a healthier you.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
78,clear30,Break-Reason,Improve Lung Health,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

💚 Every choice adds up. Whether it’s big or small, every step you take is moving you toward a healthier you.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
79,clear30,Break-Reason,Increase Productivity,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

💼 More focus, more energy. This week, you gave yourself more time to lock in and get things done.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
80,clear30,Break-Reason,Increase Motivation,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

🚀 You kept the momentum going. Even on tough days, you showed up for yourself—and that’s what fuels real change.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
81,clear30,Break-Reason,Save Money,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

💰 More money stays in your pocket. Every day you didn’t smoke added up—think about what else you can put that toward.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
82,clear30,Break-Reason,Improve Current Relationships,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

👥 Showing up for yourself means showing up for others. Whether it’s friends, family, or relationships, every step forward makes you more present.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
83,clear30,Break-Reason,Enhance Social Connections,4,4,"🥳 Hey _CLIENTNAME_ - great job Clear30’ing this week!

You checked in _CHECKED_IN_ times and had _SOBER_ no-smoke days—we see you putting in the effort.

🥳 You’re making space for real connections. Every choice you make helps open the door to more meaningful moments with the people around you.

Let’s close out the week—let us know how the rest of it went below 👇

📲 clear30://week-summary"
