id,day,program,text,question_id,question_response,variant_id,variant_conditions,hour_utc,active,created_at,updated_at
25,3,clear30,"Hi _CLIENTNAME_,

Did you know your brain thrives on new experiences? 🧠✨

Try ""Neuroplasticity Journaling"":

Each day, write down one new thing you tried without cannabis. It's a great way to discover just how rich and rewarding life can be!

If you have any questions or need anything, just reply!",Break-Reason,Explore Life Without Cannabis,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
26,3,clear30,"Hi _CLIENTNAME_,

Did you know ending your shower with cold water can invigorate your body and mind? ❄️🚿

A quick burst of cold water can boost circulation and leave you feeling more alert. Try it out and see the difference!

If you have any questions or need anything, just reply!",Break-Reason,Improve Overall Health,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
27,3,clear30,"Hi _CLIENTNAME_,

Want stronger lungs? Let's ""Breathe Deep"" together! 🌬️🧘‍♂️

Try this diaphragmatic breathing exercise:

Place one hand on your chest and one on your belly. Slowly inhale through your nose, letting your belly rise. Exhale through pursed lips. It's a great way to strengthen your lungs and relax your body.

If you have any questions or need anything, just reply!",Break-Reason,Improve Lung Health,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
28,3,clear30,"Hi _CLIENTNAME_,

Struggling to start big tasks? Let's make it easier! 🧠✨

Try the ""Zeigarnik Effect"":

Start a task for just 5 minutes. Your brain loves closure, so getting started makes finishing much easier. Give it a go and see the magic!

If you have any questions or need anything, just reply!",Break-Reason,Increase Productivity,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
29,3,clear30,"Hi _CLIENTNAME_,

Looking for a motivation boost? Let's ""Eat the Frog""! 🐸✨

Start your day by tackling your most challenging task. Knocking it out early sets a positive tone and fuels your momentum all day long.

If you have any questions or need anything, just reply!",Break-Reason,Increase Motivation,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
30,3,clear30,"Hi _CLIENTNAME_,

Want to see your savings grow effortlessly? 🌱💰

Try the ""Invisible Money"" trick:

Every time you skip buying weed, transfer that amount into a savings account. Watching your savings grow can be a great motivator!

If you have any questions or need anything, just reply!",Break-Reason,Save Money,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
31,3,clear30,"Hi _CLIENTNAME_,

Ever heard of ""Emotional Bank Accounts""? Let's start making deposits! 🏦😊

Simple acts—like giving a sincere compliment or offering a helping hand—can build trust and strengthen relationships over time.

If you have any questions or need anything, just reply!",Break-Reason,Improve Current Relationships,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
32,3,clear30,"Hi _CLIENTNAME_,

Feeling alone? Let's create connections that matter! 🤗💫

Try the ""Reach Out Challenge"":

Send a message to someone you haven't talked to in a while. Rekindling old friendships can bring more joy to your day—and theirs.

If you have any questions or need anything, just reply!",Break-Reason,Enhance Social Connections,,,16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
33,10,clear30,"Hey _CLIENTNAME_, it's Gerard.

10 days in, no smoking at all - that's huge. Seriously, I'm so excited for you. You're really doing this, and I hope you're taking a second to be proud of yourself.

If you wanna celebrate, share how you're feeling, or just say what's up, I'm here. Message me anytime :)",,,day10-1,"{""sober_days"":{""min"":10},""check_in_days"":{""min"":10}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
34,10,clear30,"Hey _CLIENTNAME_ its Gerard. It's great to see you so commited and checking in everyday.

You're a third of the way through your clear30 break and have stayed commited through the toughest part - congrats on really starting to build this new habit :)

You can reply if you have any questions or just wanna celebrate with me and take a moment to be proud of yourself.",,,day10-2,"{""check_in_days"":{""min"":10}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
35,10,clear30,"Hey _CLIENTNAME_, it's Gerard.

You're 10 days in, and you've been showing up for yourself again and again. That's real consistency.

Hope you're feeling good about your progress. If there's anything on your mind or you just wanna check in, I'm here. :)",,,day10-3,"{""check_in_days"":{""max"":9,""min"":7}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
36,10,clear30,"Hey _CLIENTNAME_, it's Gerard.

10 days in, and you've been checking in! That's something. Staying aware is what keeps you moving forward.

If you're trying to get into a better rhythm, checking in daily can really help. No pressure - just a quick way to stay on track.

Tap in whenever you're ready. I'm here if you ever wanna check in or talk things through. :)",,,day10-4,"{""check_in_days"":{""max"":6,""min"":3}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
37,10,clear30,"Hey _CLIENTNAME_, it's Gerard.

10 days in already. You've checked in a couple times so far, and I know it can be tough to keep up. But checking in is one of the best ways to stay aware and on track.

If now feels like a good time to reset, I'm here. No judgment, no stress - just a chance to check in and see where you're at.

Tap in whenever you're ready. :)",,,day10-5,"{""check_in_days"":{""max"":2,""min"":1}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
38,10,clear30,"Hey _CLIENTNAME_, it's Gerard.

I noticed you haven't checked in yet, and that's totally okay. Clear30 is here whenever you're ready. Even a quick check-in can help you stay aware and see where you're at.

If now feels like a good time to start, I'm here. No pressure - just a small step whenever you're ready. :)",,,day10-6,"{""check_in_days"":{""max"":0,""min"":0}}",16,true,2026-04-17 16:14:33.459384+00,2026-04-17 16:14:33.459384+00
