id,category,days_without_weed,percentage,text,citation,minute_offset,notification_title,notification_body
31,Lungs,8,52,Inflammation in the airways begins to reduce improving lung reactivity and easing irritation,Tashkin DP. Effects of marijuana smoking on the lungs. Ann Am Thorac Soc. 2013;10(3):239–247.,-30,🔥 Airways chilling out,No longer mad at everything you breathe.
5,Brain,9,49,Anandamide and 2-AG levels begin stabilizing as the ECS normalizes,Cota D et al. J Neuroendocrinol. 2007;19(1):35–53.,43,🧪 Brain chemicals behaving,"Party's over, cleanup in progress."
19,Heart,10,52,Risk factors associated with arrhythmia begin decreasing as autonomic balance normalizes,Desai R et al. J Am Coll Cardiol. 2020;75(11):1111.,125,📱 Heart rhythm restored,No more experimental beats.
32,Lungs,12,61,Lung function indicators (e.g. FEV₁ and FVC) begin to measurably improve,Hancox RJ et al. Eur Respir J. 2015.,0,📏 Lungs aced their exam,Performance metrics all green.
6,Brain,14,55,CB₁ receptor recovery continues in the hippocampus a region central to memory and learning,Villares J. Neuroscience. 2007;145(1):323–334.,45,📱 Hippocampus selfie time,Memory zone glow-up happening now.
7,Brain,17,61,Stabilized CB₁ signaling supports reduced mental fatigue and better cognitive endurance,Ceccarini J et al. Brain Res. 2015;1628:190–197.,0,🔋 Brain battery upgraded,Mental stamina buff applied.
33,Lungs,18,74,Small airway resistance continues to decline improving airflow efficiency,Tashkin DP. Ann Am Thorac Soc. 2013.,0,🌬️ Airway traffic flowing,Roadblocks removed. Breathe easy.
20,Heart,20,67,Inflammatory markers linked to cannabis use begin declining easing vascular stress,Skosnik PD et al. Acta Neuropsychiatr. 2016;28(5):234–241.,0,🔥 Vascular beef squashed,Peace treaty signed. Details inside.
8,Brain,21,75,ECS balance improves helping regulate sleep and emotional recovery,Vandrey R et al. Drug Alcohol Depend. 2011;117(1):38–44.,0,😴 Sleep quality stonks,Emotional recovery on the rise.
34,Lungs,22,81,Respiratory endurance and airflow continue to improve as inflammation and mucus buildup decline,Supported by Hancox RJ et al. 2015 and Tashkin DP 2013.,0,🏃 Lungs want to exercise,We're shocked too. Find out why.
9,Brain,26,82,Endocannabinoid system function continues stabilizing supporting emotional regulation and cognitive control,Hirvonen J et al. 2012.,89,🎮 Emotion control unlocked,New brain cheat codes found.
35,Lungs,26,86,Airways continue stabilizing as inflammation remains low and cilia function strengthens,Healthline – Lung Function After Quitting Smoking,0,🧱 Lung rebuilding ahead of schedule,Progress photos inside.
36,Lungs,30,91,Early recovery phase complete; lungs are defending themselves more efficiently with reduced irritation and restored airflow,Hancox RJ et al. 2015; Tashkin DP 2013.,12,🏆 Lungs learned self-defense,Karate chopping irritants like a boss.
21,Heart,30,88,Overall cardiovascular function improves relative to cannabis baseline with steadier heart rate blood pressure and vascular tone,Rezkalla SH & Kloner RA 2019; Jones RT 2002.,92,🏆 Heart OS updated,All bugs fixed. Check changelog.
10,Brain,30,87,CB₁ receptor availability returns to baseline in most brain regions restoring cognitive and motivational balance,Hirvonen J et al. 2012; Volkow ND et al. N Engl J Med. 2014;370:2219–2227.,39,🏆 Brain factory reset complete,Better than original specs. See how.
22,Heart,38,92,Vascular elasticity improves as endothelial function continues to strengthen; circulation efficiency increases,Reddy LV et al. 2020; Rezkalla SH & Kloner RA 2019.,35,🧘 Artery yoga certified,Flexible and zen. New moves unlocked.
11,Brain,40,91,CB₁ receptor normalization strengthens across cortical and limbic regions improving communication between brain areas tied to focus and motivation,Hirvonen J et al. 2012; Ceccarini J et al. 2015.,184,📢 Brain regions gossiping,And finally agreeing. Eavesdrop now.
37,Lungs,43,93,Airway irritation continues to subside as the lining of the respiratory tract returns to normal structure and mucus clearance stabilizes,Tashkin DP. Ann Am Thorac Soc. 2013.,-89,🧠 Lungs forgot being irritated,No recollection of past drama.
38,Lungs,49,94,Reports of coughing and phlegm production decrease further as small-airway obstruction continues to decline,Hancox RJ et al. Eur Respir J. 2015.,29,🤫 Suspiciously quiet lungs,Not a cough in sight. Why?
23,Heart,50,94,Markers of oxidative stress begin to normalize supporting healthier arterial tone and blood flow,Pacher P et al. Am J Physiol Heart Circ Physiol. 2018;314(1):H1–H17.,-94,🧹 Oxidative stress cleanup,Heart's maintenance crew at work.
12,Brain,51,93,Verbal learning and memory performance show continued improvement following sustained abstinence,Schuster RM et al. Exp Clin Psychopharmacol. 2016;24(1):10–22.,178,📚 IQ points found,Your vocabulary's expanding. Check it out.
13,Brain,57,96,Working memory and executive function approach non-user baselines; frontal cortex activity becomes more efficient during cognitive tasks,Battistella G et al. Biol Psychiatry. 2014;75(6):472–481.,69,🧩 Frontal cortex flexing,Mental gymnastics with half the effort.
39,Lungs,60,96,Bronchitis-like symptoms typically resolve completely in cannabis-only smokers; mucociliary defenses function normally again,Hancox RJ et al. 2015; Tashkin DP 2013; Pletcher MJ et al. JAMA 2012; Taylor DR et al. Thorax 2002.,27,🏥 Bronchitis symptoms fired,Respiratory restructuring in progress.
24,Heart,62,95,Heart rate variability (HRV) improves indicating balanced autonomic nervous system function,Gruber SA et al. Front Psychiatry. 2021;12:619950.,-69,🎭 Heart emotional range++,Feelings you didn't know existed.
25,Heart,74,99,Sustained abstinence supports long-term vascular and inflammatory health lowering overall cardiovascular load,Pletcher MJ et al. JAMA. 2012;307(2):173–181.,12,📊 Cardiac credit score up,"Lower risk, better outlook."
14,Brain,75,98,Brain perfusion and neural connectivity patterns normalize; mood and motivation regulation improve alongside stable ECS signaling,Filbey FM et al. JAMA Psychiatry. 2014;71(7):818–827.,-34,🔄 Neural network upgrade,All connections optimized. Status report inside.
40,Lungs,76,97,Oxygen exchange efficiency improves; some individuals notice enhanced respiratory endurance with consistent abstinence,Pletcher MJ et al. JAMA 2012; Hancox RJ et al. 2015.,103,🎭 Lungs' comeback story,From supporting role to lead actor.
15,Brain,88,100,Long-term CB₁ receptor homeostasis achieved. Cognitive emotional and motivational systems function near baseline supporting sustained clarity and balance,Hirvonen J et al. 2012; Ceccarini J et al. 2015; Volkow ND et al. 2014.,83,🏁 Brain redemption complete,From side character to protagonist.
26,Heart,90,100,Circulatory efficiency and cardiac resilience approach baseline; consistent abstinence supports healthy heart rate blood pressure and vessel function,Rezkalla SH & Kloner RA 2019; Reddy LV et al. 2020; Pletcher MJ et al. 2012.,17,🏁 Heart's thank you note,For the fresh start. Read it now.
41,Lungs,91,100,Lung structure and cilia function approach full recovery; former cannabis-only smokers show no greater risk of chronic bronchitis than non-smokers,Hancox RJ et al. 2015; Tashkin DP 2013.,56,🏁 Non-smoker club membership,Your lungs are official members.
