id,key,name,description,category,subcategory,sf_symbol,rarity_id,check_type,check_params,is_active,display_order,created_at,updated_at,notification_body,notification_delay_minutes,notification_title
34,dinner_for_two,Night Out,$50 saved from not buying weed,without_weed,money,wineglass.fill,2,milestone,"{""type"":""money_saved"",""amount"":50}",true,15,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your wallet's getting thicker. See by how much.,,🍷 Fancy dinner unlocked
35,shopping_spree,Style Upgrade,$75 saved from not buying weed,without_weed,money,bag.fill,2,milestone,"{""type"":""money_saved"",""amount"":75}",true,16,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,New wardrobe possibilities have entered the chat.,,👕 Shopping spree funds acquired
36,benjamin_banker,Hundred Hoard,$100 saved from not buying weed,without_weed,money,dollarsign.square.fill,3,milestone,"{""type"":""money_saved"",""amount"":100}",true,17,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your first hundred saved. The Benjamins are multiplying.,,💵 Benjamin has joined the party
37,mini_vacation,Vacation Fund,$250 saved from not buying weed,without_weed,money,airplane.departure,4,milestone,"{""type"":""money_saved"",""amount"":250}",true,18,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your savings account has entered the chat.,,✈️ Flight money secured
38,first_cut,First Trim,25% reduction in weed use over 7 days,without_weed,time,scissors.circle.fill,1,reduction,"{""percentage"":25,""period_days"":7}",true,19,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your first step toward freedom. Numbers inside.,,✂️ Cutting back: level 1
39,halfway_there,Half Clear,50% reduction in weed use over 7 days,without_weed,time,cloud.sun.fill,2,reduction,"{""percentage"":50,""period_days"":7}",true,20,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,The sun's starting to peek through. Weather report inside.,,☁️ Clouds: halfway cleared
40,major_progress,Fog Lifter,75% reduction in weed use over 7 days,without_weed,time,sun.max.fill,3,reduction,"{""percentage"":75,""period_days"":7}",true,21,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,75% clearer skies ahead. See the forecast.,,☀️ Mental fog: evaporating
41,completely_clear,Mind Clarity,100% reduction in weed use over 14 days,without_weed,time,brain.head.profile.fill,4,reduction,"{""percentage"":100,""period_days"":14}",true,22,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,100% THC reduction achieved. Mission accomplished.,,🧠 Brain operating at full power
42,check_in_pioneer,First Check-In,First daily check-in,in_app_activity,firsts,hand.wave.fill,1,count,"{""count"":1,""activity"":""check_in""}",true,23,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your first daily check-in is in the books.,,👋 Check-in streak: initiated
43,claire_confidant,Claire Chat,First conversation with Claire,in_app_activity,firsts,bubble.left.and.bubble.right.fill,1,count,"{""count"":1,""activity"":""claire_conversation""}",false,24,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:29.526516+00,You've unlocked your personal guide. Say hi!,,💬 Claire has entered the chat
44,dr_fred_first_patient,Fred Chat,First conversation with Dr. Fred,in_app_activity,firsts,cross.case.fill,1,count,"{""count"":1,""activity"":""dr_fred_conversation""}",true,25,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Medical wisdom now available on demand.,,👨‍⚕️ Dr. Fred has joined
45,group_creator,Group Birth,First group creation,in_app_activity,firsts,figure.2.and.child.holdinghands,1,count,"{""count"":1,""activity"":""group_creation""}",true,26,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your first group is alive and kicking.,,👥 Squad: assembled
47,community_explorer,Community Visit,First visit to the community,in_app_activity,firsts,map.fill,1,count,"{""count"":1,""activity"":""community_visit""}",false,28,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:34.477546+00,You've found your people. Explore away.,,🗺️ Community discovered
48,first_post,Voice Found,First post in the community,in_app_activity,firsts,megaphone.fill,1,count,"{""count"":1,""activity"":""community_post""}",true,29,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,First community post published. World domination next.,,🔊 Your voice: unleashed
49,comment_contributor,First Reply,First comment on a community post,in_app_activity,firsts,arrowshape.turn.up.left.fill,1,count,"{""count"":1,""activity"":""community_comment""}",true,30,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Your first comment is live. The conversation continues.,,↩️ Reply game: activated
50,reaction_responder,First Reaction,First reaction on a community post,in_app_activity,firsts,heart.fill,1,count,"{""count"":1,""activity"":""community_reaction""}",false,31,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:41.723481+00,Your first emoji response has been deployed.,,❤️ Reaction unlocked
51,mindfulness_initiate,Breath Finder,First meditation session,in_app_activity,firsts,lungs.fill,1,count,"{""count"":1,""activity"":""meditation""}",false,32,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:45.817265+00,You found your breath. It was there all along.,,🧘 Inner peace: located
52,self_reflector,Story Begins,First journal entry,in_app_activity,firsts,book.fill,1,count,"{""count"":1,""activity"":""journal_entry""}",false,33,2025-10-15 23:05:57.83498+00,2025-10-29 21:09:48.070111+00,Your journey's now documented. Historians rejoice.,,📝 Chapter 1 has begun
53,check_in_champion,Check-In Pro,10 daily check-ins,in_app_activity,continuous,clock.badge.checkmark.fill,2,count,"{""count"":10,""activity"":""check_in""}",true,34,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,10 check-ins strong. Your streak is unstoppable.,,⏰ Consistency has entered the chat
54,check_in_master,Habit Builder,25 daily check-ins,in_app_activity,continuous,clock.arrow.trianglehead.2.counterclockwise.rotate.90,3,count,"{""count"":25,""activity"":""check_in""}",true,35,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,25 days of showing up for yourself.,,📅 Check-in streak: legendary
55,check_in_legend,Routine King,50 daily check-ins,in_app_activity,continuous,calendar.day.timeline.leading,4,count,"{""count"":50,""activity"":""check_in""}",true,36,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,50 consecutive appearances. Streak god status achieved.,,👑 Check-in royalty status
56,claires_confidant,Claire Connection,5 conversations with Claire,in_app_activity,continuous,figure.wave.circle.fill,2,count,"{""count"":5,""activity"":""claire_conversation""}",true,37,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,5 deep conversations and counting. Friends status unlocked.,,🤝 Claire's inner circle member
57,claires_inner_circle,Claire BFF,15 conversations with Claire,in_app_activity,continuous,figure.socialdance.circle.fill,3,count,"{""count"":15,""activity"":""claire_conversation""}",true,38,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,15 chats in. You guys are practically family now.,,🤙 Claire's BFF achievement
58,dr_freds_star_patient,Fred Expert,5 conversations with Dr. Fred,in_app_activity,continuous,briefcase.fill,2,count,"{""count"":5,""activity"":""dr_fred_conversation""}",true,39,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,5 consultations complete. Medical VIP status achieved.,,🥼 Dr. Fred's favorite patient
59,community_contributor,Story Sharer,5 posts in the community,in_app_activity,continuous,rectangle.stack.badge.play.fill,2,count,"{""count"":5,""activity"":""community_post""}",true,40,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,5 posts published. Your influence is growing.,,📢 Community voice activated
60,community_pillar,Content Creator,15 posts in the community,in_app_activity,continuous,theatermasks.fill,3,count,"{""count"":15,""activity"":""community_post""}",true,41,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,15 posts strong. The community rests on your shoulders.,,🏛️ Community pillar erected
61,conversation_catalyst,Reply Master,10 comments in the community,in_app_activity,continuous,quote.bubble.fill,2,count,"{""count"":10,""activity"":""community_comment""}",true,42,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,10 replies and counting. The dialogue deepens.,,💭 Conversation wizard level up
62,engagement_expert,Reaction King,25 reactions in the community,in_app_activity,continuous,hands.clap.fill,2,count,"{""count"":25,""activity"":""community_reaction""}",true,43,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,25 reactions given. Your support is legendary.,,👏 Emoji deployment expert
63,meditation_enthusiast,Mind Explorer,5 meditation sessions,in_app_activity,continuous,cloud.moon.fill,2,count,"{""count"":5,""activity"":""meditation""}",true,44,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,5 meditation voyages complete. Inner peace intensifies.,,🌙 Mind explorer: level up
64,meditation_master,Calm Creator,15 meditation sessions,in_app_activity,continuous,water.waves.and.arrow.trianglehead.up,3,count,"{""count"":15,""activity"":""meditation""}",true,45,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,15 meditation sessions deep. Stress doesn't stand a chance.,,🌊 Calm waves generated
65,meditation_guru,Zen Master,30 meditation sessions,in_app_activity,continuous,hand.rays.fill,4,count,"{""count"":30,""activity"":""meditation""}",true,46,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,30 meditation sessions deep. Inner peace unlocked.,,🔮 Zen level: legendary
66,journal_journeyer,Thought Keeper,7 journal entries,in_app_activity,continuous,highlighter,2,count,"{""count"":7,""activity"":""journal_entry""}",true,47,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,7 entries of pure reflection. Your story's taking shape.,,✏️ Journal streak: solid
67,reflection_expert,Story Weaver,21 journal entries,in_app_activity,continuous,pencil.and.outline,3,count,"{""count"":21,""activity"":""journal_entry""}",true,48,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,21 entries of pure character development.,,📖 Your memoir's getting thicc
68,day_one_done,Journey Begins,First day of the Clear30 program,in_app_activity,time,sunrise.circle.fill,1,milestone,"{""day"":1,""type"":""program_day"",""program"":""clear30""}",false,49,2025-10-15 23:05:57.83498+00,2025-10-29 21:08:48.755381+00,Day one in the books. The universe approves.,,🚀 Mission Clear30: launched
69,first_weekend_warrior,Weekend Victor,First 3 days of Clear30,in_app_activity,time,sun.and.horizon.fill,1,milestone,"{""day"":3,""type"":""program_day"",""program"":""clear30""}",true,50,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,3 days of Clear30 conquered. Monday doesn't stand a chance.,,🌄 Weekend warrior status
70,week_one_winner,Week Champion,First week of Clear30,in_app_activity,time,medal.fill,2,milestone,"{""day"":7,""type"":""program_day"",""program"":""clear30""}",true,51,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,7 days of Clear30 complete. Level up!,,🏅 Week 1: conquered
71,halfway_hero,Midpoint Master,Two weeks of the Clear30 program,in_app_activity,time,figure.mixed.cardio.circle.fill,3,milestone,"{""day"":15,""type"":""program_day"",""program"":""clear30""}",true,52,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,Clear30 equator crossed. The second half awaits.,,🏋️ Halfway point: crushed
72,program_completer,Clear Graduate,Completing all 30 days of Clear30,in_app_activity,time,graduationcap.fill,4,milestone,"{""day"":30,""type"":""program_day"",""program"":""clear30""}",true,53,2025-10-15 23:05:57.83498+00,2025-10-29 00:20:27.830414+00,You've graduated. Time to toss the cap!,,🎓 Clear30: mission complete
